dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/chess_uncertain.txt,50,NO_G1_frontier,1,26984,1161,1236
processed_data/chess_uncertain.txt,50,NO_G1_frontier,2,27046,1161,1236
processed_data/chess_uncertain.txt,50,NO_G2_item,0,5471,42,91
processed_data/chess_uncertain.txt,50,NO_G2_item,1,5440,42,91
processed_data/chess_uncertain.txt,50,NO_G2_item,2,5418,42,91
processed_data/chess_uncertain.txt,50,NO_G3_upbound,0,5561,42,91
processed_data/chess_uncertain.txt,50,NO_G3_upbound,1,5419,42,91
processed_data/chess_uncertain.txt,50,NO_G3_upbound,2,5483,42,91
processed_data/chess_uncertain.txt,50,NO_G4_tidset,0,5419,42,91
processed_data/chess_uncertain.txt,50,NO_G4_tidset,1,5450,42,91
processed_data/chess_uncertain.txt,50,NO_G4_tidset,2,5452,42,91
processed_data/chess_uncertain.txt,50,ONLY_G1,0,6457,42,91
processed_data/chess_uncertain.txt,50,ONLY_G1,1,6291,42,91
processed_data/chess_uncertain.txt,50,ONLY_G1,2,6262,42,91
processed_data/chess_uncertain.txt,50,ONLY_G2_G3_G4,0,26997,1161,1236
processed_data/chess_uncertain.txt,50,ONLY_G2_G3_G4,1,26726,1161,1236
processed_data/chess_uncertain.txt,50,ONLY_G2_G3_G4,2,26103,1161,1236
